name,ideology
new turkey party,social democrat
motherland party,liberal democrat
republican trust party,social democrat
justice and development party,conservative
nationalist movement party,far right
true path party,conservative
people's democracy party,regionalist
justice party,liberal democrat
trust party,other
republican peasant's nation party,far right
indpendents,other
democratic people's party,regionalist
virtue party,islam
nationalist democracy party,liberal democrat
people's party,social democrat
freedom party,liberal democrat
republican nation party,conservative
republican people's party,social democrat
national salvation party,islam
national party,regionalist
democratic party,conservative
independents,other
democrat party,conservative
welfare party,islam
social democratic people's party,liberal-socialist
democratic left party,social democrat
